post_id,title,category,score,num_comments,author,collected_at
47710919,How the Trivy supply chain attack harvested credentials from secrets managers,news,14,14,Rial_Labs,2026-04-10 08:47:09
47712238,One Method Was Using 71% of CPU. Here's the Flame Graph,news,6,1,siegers,2026-04-10 08:47:10
47708179,Glasses Got Worse on Purpose,news,55,15,chrisaycock,2026-04-10 08:47:11
47700388,Help Keep Thunderbird Alive,news,524,361,playfultones,2026-04-10 08:47:14
47678690,Six (and a half) intuitions for KL divergence,news,107,27,jxmorris12,2026-04-10 08:47:15
47656730,Understanding Traceroute,news,163,24,stonecharioteer,2026-04-10 08:47:16
47661297,What does it mean to “write like you talk”?,news,97,81,surprisetalk,2026-04-10 08:47:17
47709197,US defense official overseeing AI reaped millions selling xAI stock,news,40,6,malshe,2026-04-10 08:47:18
47659135,Sam Altman may control our future – can he be trusted?,news,2129,895,adrianhon,2026-04-10 08:47:19
47694983,Expanding Swift's IDE Support,news,135,69,frizlab,2026-04-10 08:47:20
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,news,397,47,WerWolv,2026-04-10 08:47:21
47688678,They're made out of meat (1991),news,620,168,surprisetalk,2026-04-10 08:47:22
47685320,Who is Satoshi Nakamoto? My quest to unmask Bitcoin's creator,news,598,782,jfirebaugh,2026-04-10 08:47:23
47702791,Show HN: 41 years sea surface temperature anomalies,news,140,60,willmeyers,2026-04-10 08:47:24
47705834,"Little Snitch comes to Linux, but the core logic is closed source",news,71,25,TheIPW,2026-04-10 08:47:25
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,news,118,56,DamnInteresting,2026-04-10 08:47:27
47693153,Understanding the Kalman filter with a simple radar example,news,415,63,alex_be,2026-04-10 08:47:28
47700662,Today Is CSS Naked Day,news,36,3,edent,2026-04-10 08:47:29
47706555,Margin – Open annotation layer for the internet,news,8,2,embedding-shape,2026-04-10 08:47:30
47704687,"A complete GPT language model in ~600 lines of C#, zero dependencies",news,18,4,evo_9,2026-04-10 08:47:31
47666639,The Importance of Being Idle,news,302,190,Caiero,2026-04-10 08:47:32
47686549,Veracrypt project update,news,1253,488,super256,2026-04-10 08:47:33
47707253,ChatGPT Pro now starts at $100/month,news,198,216,strongpigeon,2026-04-10 08:47:34
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,news,184,220,speckx,2026-04-10 08:47:35
47676065,Things I learned from Reddit fashion,news,23,12,surprisetalk,2026-04-10 08:47:36
47689237,US cities are axing Flock Safety surveillance technology,news,744,422,giuliomagnifico,2026-04-10 08:47:37
47687248,Škoda DuoBell: A bicycle bell that penetrates noise-cancelling headphones,news,588,591,ra,2026-04-10 08:47:38
47705802,Show HN: Mdpdf a 2k line C CLI to convert Markdown to tiny PDFs,news,7,2,bastscho,2026-04-10 08:47:39
47696035,John Deere to pay $99M in right-to-repair settlement,news,378,124,CharlesW,2026-04-10 08:47:40
47679121,Project Glasswing: Securing critical software for the AI era,news,1510,824,Ryan5453,2026-04-10 08:47:42
47689648,ML promises to be profoundly weird,news,593,587,pabs3,2026-04-10 08:47:43
47653642,Binary obfuscation that doesn't kill LTO,news,141,94,noztol,2026-04-10 08:47:44
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,news,414,194,nickvec,2026-04-10 08:47:45
47676509,Lunar Flyby,news,951,245,kipi,2026-04-10 08:47:46
